stabbr,n,totnum,married,female,age_lt40,age_ge60,pincp,wagp,ssip,intp,semp
AK,588,12727,7444,9114,5639,1311,735884125,677850300,0,17608845,8778280
AL,3710,71713,48542,58278,31797,5499,3190249636,3025645600,2348900,32367706,13330210
AR,2480,48325,33772,38826,22506,4423,2118624746,2001556500,294400,17766206,11488730
AZ,4776,90958,54560,70095,39006,10858,3922367215,3614234000,769200,60520125,17393910
CA,27344,516506,315629,382407,206159,63320,31433850307,29579315500,8385700,751741647,128892710
CO,4720,88175,57145,68312,40522,7663,4162530423,3889492300,393800,73240953,21400580
CT,3955,72462,46932,55265,29209,10663,4702596335,4389154600,2361200,125545985,17615880
DC,442,9116,3104,6809,5175,1008,592116750,524140400,292500,45673880,3196870
DE,777,15662,10154,12428,7061,1898,826834783,781832400,30400,9090283,2137200
FL,14600,279122,164767,226229,115566,34753,12197923944,11478430300,6981900,198411564,41464540
GA,8953,180503,115779,147736,75425,15297,8700232607,8191964800,4666800,106879097,24719180
HI,1141,21030,12949,15770,8474,2935,1130325426,1025677300,1707000,45874166,5190160
IA,2731,54351,39632,42884,23952,5202,2654718884,2495176300,1386400,48852684,19291020
ID,1154,22936,16836,17685,8900,2674,979327478,918890900,487200,21092218,6598820
IL,10805,206422,133944,160977,96928,18141,11440364468,10809996800,4038900,190323810,42484970
IN,4657,91615,65189,70628,41871,9557,4155441726,3927831800,454500,70363986,32806540
KS,2784,54158,39981,42721,24009,5934,2471047452,2325307200,865800,40007634,16379518
KY,3421,64169,45967,51012,29963,5319,3002681912,2769109700,541700,63386282,11045840
LA,3712,72559,44642,59012,32575,7928,3264684700,3051252200,1460800,48262070,9717850
MA,6907,129615,79131,101082,59277,14169,7685257373,7278715100,1308900,137238243,33495170
MD,5484,104157,62999,81530,47963,11579,6101115073,5747187800,1048100,116843483,31427450
ME,1311,27998,19835,20669,10371,4045,1274259370,1177366300,849600,40789100,6703780
MI,6309,124264,88113,97634,49004,10829,6391319885,6081361700,1887000,95943175,30321340
MN,4513,94497,65283,71742,42403,7520,4951130682,4679422200,1375300,83926342,32431970
MO,5114,100161,67949,79449,47837,8250,4411626395,4116572800,1399800,78362901,16717164
MS,2473,48342,31057,39913,22057,4819,1944988413,1829324800,405400,17863843,5895870
MT,805,14573,11015,10869,6121,1959,666134400,626578500,181500,17210090,4342050
NC,8257,161131,102637,131447,72812,14719,6843803187,6386858200,3607000,113311167,28290540
ND,733,12698,8903,9964,6491,1428,632488532,581647100,0,27451062,4380870
NE,1838,35290,25259,27744,17450,3836,1703625580,1584475000,489600,24609270,8076780
NH,1420,26773,19320,21294,10211,3178,1373521858,1293983400,25200,33425148,4212310
NJ,9831,181375,116869,141165,79290,21051,11298086311,10712166700,2597200,178123553,49126590
NM,1514,31107,17751,23706,11895,3998,1397987485,1282515700,421400,25631755,4523950
NV,2086,39280,23480,29923,16830,4639,2028219482,1899024800,1145400,26271122,9774420
NY,19528,360351,220652,273688,158393,37698,24768254513,23542535200,5832800,411720323,88250710
OH,8913,171814,117727,132575,75907,15722,8993095267,8499928800,2870200,135508687,33975200
OK,2888,59969,41543,47881,25694,6882,2383863923,2207605600,1216400,39324103,13631920
OR,2801,53406,35566,40283,21549,6228,2686833868,2464546400,1390800,87254008,18083220
PA,10073,196843,135435,149039,91016,16886,11067199666,10581290200,4809500,180393752,51353312
RI,1000,18846,11994,14414,7538,2257,1169187063,1113111000,39900,12075713,7372350
SC,4038,77719,50881,63433,34150,8439,3438721090,3172812800,3093300,56440720,8594650
SD,781,14587,10645,11308,6417,1283,630839874,600065000,7800,11892990,5268050
TN,5252,102095,68744,81321,45348,10819,4525555045,4230012500,984100,74731145,20776690
TX,24909,492741,309288,382134,230268,46863,23803914738,22412793700,7410400,318265734,95638024
UT,2328,43163,31308,33360,18451,4973,1969320511,1852740100,341000,22114971,11259540
VA,8000,145946,94912,116457,63084,17342,7405515903,6927035600,4001600,154924515,29658258
VT,686,12682,8727,9928,4708,2077,695067150,633112300,1393800,32999100,1930360
WA,5536,103090,71020,78748,42263,13655,5606223826,5247769100,2572500,127345524,33186582
WI,4889,99511,69071,76034,44679,7159,4699185799,4462947500,1572700,51302119,19802750
WV,1404,27191,19083,21431,11234,3658,1212490518,1102805900,378200,14396148,5694200
WY,577,10327,8145,7373,4524,1098,556462744,523224900,200000,14501964,4188780
